ticker,execution_type,order_status,time_in_force,n,qty
AL30,REPLACED,NEW,DAY,294353,0.0
AL30,PENDING_REPLACE,PENDING_REPLACE,TIME_IN_FORCE_UNSPECIFIED,115668,0.0
AL30,REPLACED,PARTIALLY_FILLED,DAY,85642,0.0
AL30,TRADE,PARTIALLY_FILLED,DAY,67655,70807891.0
AL30,TRADE,FILLED,DAY,46761,94490802.0
AL30,NEW,NEW,DAY,44178,0.0
AL30,TRADE,FILLED,IMMEDIATE_OR_CANCEL,43764,90365447.0
AL30,PENDING_NEW,PENDING_NEW,TIME_IN_FORCE_UNSPECIFIED,32709,0.0
AL30,EXPIRED,EXPIRED,IMMEDIATE_OR_CANCEL,9830,0.0
AL30,TRADE,PARTIALLY_FILLED,IMMEDIATE_OR_CANCEL,3525,9988936.0
AL30,CANCELED,CANCELED,DAY,2775,0.0
AL30,REJECTED,REJECTED,TIME_IN_FORCE_UNSPECIFIED,1599,0.0
AL30,PENDING_CANCEL,PENDING_CANCEL,TIME_IN_FORCE_UNSPECIFIED,846,0.0
AL30,REJECTED,REJECTED,DAY,1,0.0
AL30,REJECTED,REJECTED,IMMEDIATE_OR_CANCEL,1,0.0
AL30C,REPLACED,NEW,DAY,140205,0.0
AL30C,REPLACED,PARTIALLY_FILLED,DAY,53328,0.0
AL30C,TRADE,PARTIALLY_FILLED,DAY,48046,113944309.0
AL30C,PENDING_REPLACE,PENDING_REPLACE,TIME_IN_FORCE_UNSPECIFIED,46938,0.0
AL30C,TRADE,FILLED,IMMEDIATE_OR_CANCEL,37464,106829169.0
AL30C,TRADE,FILLED,DAY,20583,79879974.0
AL30C,PENDING_NEW,PENDING_NEW,TIME_IN_FORCE_UNSPECIFIED,19852,0.0
AL30C,NEW,NEW,DAY,19013,0.0
AL30C,REJECTED,REJECTED,TIME_IN_FORCE_UNSPECIFIED,6363,0.0
AL30C,EXPIRED,EXPIRED,IMMEDIATE_OR_CANCEL,4652,0.0
AL30C,TRADE,PARTIALLY_FILLED,IMMEDIATE_OR_CANCEL,2977,10058514.0
AL30C,CANCELED,CANCELED,DAY,1642,0.0
AL30C,PENDING_CANCEL,PENDING_CANCEL,TIME_IN_FORCE_UNSPECIFIED,449,0.0
AL30C,REJECTED,REJECTED,DAY,392,0.0
AL30D,REPLACED,NEW,DAY,237091,0.0
AL30D,PENDING_REPLACE,PENDING_REPLACE,TIME_IN_FORCE_UNSPECIFIED,67060,0.0
AL30D,TRADE,PARTIALLY_FILLED,DAY,46127,49509751.0
AL30D,REPLACED,PARTIALLY_FILLED,DAY,45617,0.0
AL30D,TRADE,FILLED,IMMEDIATE_OR_CANCEL,30692,49114048.0
AL30D,NEW,NEW,DAY,22204,0.0
AL30D,TRADE,FILLED,DAY,21529,37885756.0
AL30D,PENDING_NEW,PENDING_NEW,TIME_IN_FORCE_UNSPECIFIED,12640,0.0
AL30D,REJECTED,REJECTED,TIME_IN_FORCE_UNSPECIFIED,7003,0.0
AL30D,EXPIRED,EXPIRED,IMMEDIATE_OR_CANCEL,3681,0.0
AL30D,CANCELED,CANCELED,DAY,1624,0.0
AL30D,TRADE,PARTIALLY_FILLED,IMMEDIATE_OR_CANCEL,1596,3884904.0
AL30D,PENDING_CANCEL,PENDING_CANCEL,TIME_IN_FORCE_UNSPECIFIED,365,0.0
